成交金额指数,成交金额,拟合值,误差值
54859,182.0,181.30027505140345,-0.38446425747063406
63856,216.4499969482422,216.32256369709134,-0.0588742217359881
67062,229.0,229.00454419499795,0.0019843646279247467
69591,239.0,239.07872396448633,0.032938897274614694
70483,242.5500030517578,242.64634653824874,0.03972108236599956
73730,255.5500030517578,255.69461828930287,0.056589800750565494
74102,257.0499877929688,257.19559161285866,0.05664416526139963
74586,259.0,259.15030926481234,0.058034465178507966
74598,259.0499877929688,259.1987996634723,0.0574452335517665
76696,267.5499877929688,267.695928796746,0.05454719134209472
76807,268.0,268.1465562318992,0.05468516115641152
77053,269.0,269.1456222036076,0.054134648181269736
77790,272.0,272.14186596930267,0.052156606361276156
79502,279.0,279.11974164137155,0.04291815102922842
80731,284.0499877929688,284.1441301400078,0.033142880156577396
81932,289.0,289.06610949280116,0.022875257024623095
82790,292.5499877929688,292.5896129484536,0.013544746928108815
83863,297.0,297.00442227838806,0.0014889826222433502
84104,298.0,297.99727670852707,-0.0009138561989706334
84344,299.0,298.9864723368338,-0.004524302062274552
84477,299.5499877929688,299.53484925585184,-0.005053759884454066
86740,309.0,308.88692254818443,-0.036594644600508215
87229,311.0499877929688,310.9130302516812,-0.04403071746099647
89119,319.0,318.7613342379439,-0.07481685330911812
91483,329.0,328.6161420219043,-0.11667415747589811
91965,331.0499877929688,330.94123728151504,-0.03285017836091073
93128,336.0,335.9285486977399,-0.021265268529783533
93596,338.0,337.93883482395813,-0.018096205929546777
93830,339.0,338.94469585115615,-0.01631390821352368
93842,339.0499877929688,338.9962913436577,-0.015837325245362025
94088,340.1000061035156,340.0542753764818,-0.013446258810086653
95127,344.5499877929688,344.5285462313774,-0.006223062647240604
95931,348.0,347.99722273791576,-0.0007980638173094852
96163,349.0,348.99916508310116,-0.00023923120310568926
97093,353.0,353.02018063599655,0.005716894050015032
98482,359.0,359.03940188174937,0.010975454526286964
98493,359.0499877929688,359.08713509368283,0.010345996929944116
100603,368.2000122070312,368.2618823469146,0.01680340516898794
100786,369.0,369.05934460654913,0.0160825492003068
100798,369.0499877929688,369.11164684410676,0.016707506619006066
100867,369.3500061035156,369.41240769556674,0.016894975232145525
102631,377.0499877929688,377.11465692460257,0.01715134165957655
103089,379.0499877929688,379.11858687229767,0.018097633963341582
104445,385.0,385.06153171456197,0.015982263522588466
104673,386.0,386.0622355283827,0.016123193881528632
105355,389.0,389.0580419510694,0.014920810043550845
106719,395.0199890136719,395.0607109356896,0.010308825667127075
107292,397.5499877929688,397.5867278905515,0.009241629659372846
107393,398.0,398.03224347093123,0.008101374605837864
107619,399.0,399.0294284012761,0.007375539166944059
108521,403.0,403.0133057191093,0.0033016672727855497
109433,407.0499877929688,407.04776005935673,-0.0005472874779219476
109545,407.5499877929688,407.54366160468476,-0.0015522484292805163
109871,409.0,408.9876380793145,-0.003022474495237408
110006,409.6000061035156,409.5858426417373,-0.003457876359193778
111340,415.5499877929688,415.5044776673563,-0.010951781241582565
111675,417.0499877929688,416.9929185405744,-0.01368403166642201
112111,419.0,418.93138551462334,-0.01637577216626644
112569,421.0499877929688,420.9692101529019,-0.019184809977154355
113237,424.0499877929688,423.94423629366713,-0.024938451207621695
113683,426.0499877929688,425.7436474525151,-0.07190244084751565
114339,429.0,428.72341700907265,-0.06447155965672542
116555,439.0,438.8159661882375,-0.041921141631549835
117118,441.5500030517578,441.38661606349785,-0.03700305449682136
117890,445.0499877929688,444.9158194578007,-0.03014680122416405
118760,449.0,448.8989098059611,-0.022514519830484383
120417,456.5500030517578,456.502202013869,-0.010470055321275267
120954,459.0,458.9710556675909,-0.006305954773220602
121074,459.5499877929688,459.5230731432711,-0.005856740379201705
123136,469.0,469.02663390063276,0.005678870070950924
125309,479.0,479.07838060406306,0.0163633828941663
127471,489.0,489.11601560653867,0.023725072911792898
129096,496.5499877929688,496.6843382531899,0.027056784517954194
129408,498.0,498.1397784233782,0.02806795650164155
129623,499.0,499.14315945060287,0.02868926865788897
130920,505.0500030517578,505.20358869953407,0.030409988485934937
131765,509.0,509.1588457554469,0.031207417573068507
133684,518.0,518.161217127799,0.03112299764459022
135077,524.5499877929688,524.7132474914677,0.03112376366374846
135395,526.0499877929688,526.2109892776331,0.03060573869411223
136020,529.0,529.1568383135232,0.029648074390012668
136983,533.5500030517578,533.7014229888036,0.02837970877701247
138134,539.0,539.1421122296755,0.026365905320128055
140238,549.0,549.1123979692518,0.0204732184429486
141077,553.0,553.0970778035461,0.01755475651827944
141088,553.0499877929688,553.1493537916276,0.017966910921633602
142553,560.0499877929688,560.1192706663076,0.012370837398253528
142762,561.0499877929688,561.1148566595531,0.01156204758857794
143170,563.0,563.0592838188105,0.010529985579132038
143806,566.0499877929688,566.0926469957961,0.007536296042284683
144421,569.0,569.0285601681114,0.005019361706753218
144951,571.5500030517578,571.5608259503007,0.0018936048438599107
146084,577.0,576.9807249787252,-0.003340558279857825
146509,579.0499877929688,579.016090049626,-0.0058540271232847075
149601,594.0,593.8615111072588,-0.023314628407605953
150631,599.0,598.8213233855806,-0.029829150988209256
151042,601.0,600.8024450190778,-0.03287104507856531
151155,601.5500030517578,601.3473335804199,-0.03369120942726935
151268,602.0999755859375,601.8923085721768,-0.03449045377531817
152274,607.0,606.7478345564492,-0.041542906680523864
152684,609.0,608.2614334587896,-0.12127529412321658
152705,609.1000061035156,608.3651335100069,-0.12064892236823184
152899,610.0499877929688,609.3232859518791,-0.11912168766999896
153421,612.5999755859375,611.9028527950844,-0.11379739122358025
153718,614.0499877929688,613.3714764400704,-0.11049773900933697
154750,619.1000061035156,618.4798515141812,-0.1001703413375117
156767,629.0,628.4874930719872,-0.08147963879377425
157580,633.0,632.53006364183,-0.07423955105371291
158392,637.0,636.5726514431005,-0.0670876855415165
158595,638.0,637.5840752606338,-0.0651919654179048
158605,638.0499877929688,637.633907111736,-0.06521129836111904
159830,644.0999755859375,643.743990574411,-0.055268595718028724
160820,649.0,648.6901419048187,-0.047743928379246826
162835,659.0,658.7798176603653,-0.033411584163076685
163850,664.0499877929688,663.873571087524,-0.026566780918260608
164643,668.0,667.8584877254825,-0.02118447223315588
164843,669.0,668.8642378691653,-0.02029329309935395
166255,676.0499877929688,675.9731356159485,-0.01136782462952268
167064,680.0999755859375,680.0526805625574,-0.006954128080855887
169236,691.0,691.0287981053722,0.004167598461964557
169971,694.7000122070312,694.7507614382308,0.007305200850414078
170229,696.0,696.0581617706845,0.008356576247769849
170626,698.0,698.0708637433669,0.010152398763164112
170824,699.0,699.0750993086675,0.010743820982477541
171221,701.0,701.0894821528836,0.012764929084685786
172033,705.1000061035156,705.2130630710546,0.016034174806463627
172804,709.0,709.132751183734,0.018723721260076775
172893,709.4499816894531,709.5854885225253,0.01910026592001924
173111,710.5499877929688,710.6946764546561,0.020362911008808597
174226,716.2000122070312,716.3730423174078,0.024159467666488466
174265,716.4000244140625,716.571815727523,0.02397980284841888
174383,717.0,717.1732975978656,0.024169818391296876
174787,719.0499877929688,719.2333464252636,0.025500123135751365
175181,721.0499877929688,721.2435027897864,0.02683794467703048
175476,722.5499877929688,722.7492783391567,0.027581558308055736
176351,727.0,727.2191259489125,0.030141120895805493
176548,728.0,728.2262140038106,0.031073352171783333
176744,729.0,729.2284570951778,0.03133842183508362
176754,729.0499877929688,729.2795990874068,0.031494588612940244
176980,730.2000122070312,730.435592877189,0.032262485102642555
178704,739.0,739.2654950899573,0.03592626386431831
179594,743.5499877929688,743.8318595828919,0.03790892267509516
179858,744.9000244140625,745.187420604331,0.03858184734180605
180082,746.0499877929688,746.3379674251148,0.03860058130930189
180658,749.0,749.2980899105743,0.03979838592446949
180668,749.0499877929688,749.349500913617,0.039985731997776094
182615,759.0499877929688,759.3721735561779,0.042445921663996286
184353,768.0,768.3406221282733,0.04435183961891316
184362,768.0499877929688,768.3871169305163,0.04389416612274252
184934,771.0,771.3432343472163,0.044518073568904394
186288,778.0,778.3494788086491,0.04492015535335602
186868,781.0,781.3544153435804,0.045379685477643934
187595,784.77001953125,785.1241034577067,0.045119451258882365
187852,786.0999755859375,786.4575547933151,0.04548775200140361
187948,786.5999755859375,786.9557654873533,0.04523136441122046
188218,788.0,788.3573098003505,0.04534388329321691
189286,793.5499877929688,793.9059118435279,0.044852127280476814
189757,796.0,796.3552939548256,0.044634918947937634
190141,798.0,798.3533204765596,0.0442757489423043
190535,800.0499877929688,800.4043837697424,0.044296729227039866
190737,801.0999755859375,801.4563382758176,0.044484171856264715
194553,821.0499877929688,821.3788085164214,0.04004880681339662
195877,828.0,828.313106941727,0.03781484803466525
196077,829.0499877929688,829.3615623066548,0.037582114260146286
197503,836.5499877929688,836.8444625556739,0.03520109581042907
197588,837.0,837.2909077249434,0.03475600059060871
197968,839.0,839.2873425963181,0.034248223637440546
199682,848.0499877929688,848.3037052531687,0.02991774822852493
199862,849.0,849.2516599754236,0.02964192878959358
200344,851.5499877929688,851.7910787507586,0.028312014707995502
200618,853.0,853.2353015092011,0.027585171066954503
201194,856.0499877929688,856.2728720582213,0.02603636101055157
201572,858.0499877929688,858.2674104183762,0.025339156051588194
202156,861.1500091552734,861.3506806531306,0.023302734218624666
205325,878.0,878.1187378838688,0.013523676978221998
207199,888.0,888.0638603599181,0.007191481972755285
207974,892.1499633789062,892.1830172445651,0.0037049674399676144
208432,894.6000061035156,894.6190359507505,0.002127190599709337
208899,897.0999755859375,897.1042445327575,0.0004758607664947947
210418,905.25,905.1970190969369,-0.005852626684688657
210474,905.5499877929688,905.495638391856,-0.006001811257841972
210558,906.0,905.9436030172243,-0.006224832535950237
210660,906.5499877929688,906.4876176116732,-0.006879949493732177
210930,908.0,907.9279607499903,-0.007933838106789898
213715,923.0,922.8105305404665,-0.020527568746856344
214456,927.0,926.7781650523176,-0.02393041506821963
214641,928.0,927.7692478709581,-0.024865531146755285
214826,929.0,928.7605353186103,-0.02577660725400183
215399,932.0999755859375,931.832144234394,-0.028734187164322095
216129,936.0499877929688,935.7481986888282,-0.03224070381669483
216304,937.0,936.687450149191,-0.033356440854746816
216553,938.3500061035156,938.0241845402438,-0.03472281783476202
216959,940.5499877929688,940.204548991563,-0.036727319747920255
217328,942.5499877929688,942.1870582732495,-0.038505068635043126
217816,945.2000122070312,944.8101516653991,-0.041246353850742594
218718,950.0999870300293,949.6622790195249,-0.04606967861062939
219987,957.0,956.4967245029279,-0.05258887116740665
220170,958.0,957.4830870797964,-0.053957507328141405
221637,966.0,965.3972446541453,-0.06239703373236946
221830,967.0499877929688,966.4393752615488,-0.06314177541261679
223476,976.0500030517578,974.8269663189454,-0.12530472096597287
224015,979.0,977.8115914452866,-0.12139004644672309
224024,979.0499877929688,977.8614438986726,-0.12139767214291088
224654,982.5,981.3524535605343,-0.11679861979294796
225657,988.0,986.9157963978427,-0.10973720669608752
225666,988.0499877929688,986.9657468849164,-0.10973543053973156
226749,994.0,992.9803631242426,-0.1025791625510505
